start_date,asset_number,GLD,MDYG,MDYV,SLYG,SLYV,SPYG,SPYV,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,16,0.2999999979070523,2.0905277835787136e-09,2.1433776957114358e-10,1.8225873156157007e-10,1.930588046474998e-10,2.195977486655977e-09,4.437138040778778e-10,1.771572913082174e-09,1.2969719062274767e-09,1.028362558872956e-09,3.321693590795203e-10,0.09930474011158724,0.29999999950132183,0.0006952649257820025,0.29999999976062736,1.5282144027403487e-09
2010-04-06,16,0.3000000000000002,9.515814521721769e-11,7.018537707033954e-11,0.0,0.10000000011933378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000002,0.0,0.3000000000000002,6.383901306092205e-11
2010-07-06,16,0.3000000000000002,2.974453925092198e-13,1.917521605649102e-13,1.1003974595250181e-13,0.1000000000006897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000002,0.0,4.679756490916412e-13,0.3000000000000002
2010-10-04,16,0.2999984208254498,4.659606036836101e-05,2.98033770792855e-07,3.212585683815514e-05,5.6326825916567296e-06,3.3006813486991485e-07,4.1640283151449014e-07,4.3224740309764884e-07,4.936425495251274e-07,6.108201863663272e-07,3.847304036689166e-07,2.835216386477545e-07,0.2999393422332002,3.3100402699334977e-07,0.2140194413515672,0.18609859855499286
2011-01-03,16,0.2999913268000014,1.7350565752053579e-06,1.6714482264509117e-06,5.008848772219182e-11,0.0033865948761306205,1.933762154031697e-06,2.1679259215164283e-06,2.332062862067736e-06,2.7734492996090207e-06,3.2149557524714735e-06,1.970804123074074e-06,1.693852405722293e-06,0.29999999988807685,2.0789508272177408e-06,0.0966207120424001,0.29998681973000274
2011-04-04,16,0.29999999901412006,0.29999999640492825,3.251160219825699e-09,2.2697550137139327e-09,2.465112606216454e-09,1.909181304043421e-09,1.5932930369613809e-09,1.066471129885628e-09,0.0,0.0,2.6692422750324615e-09,0.10007334398990239,0.29992664028338967,1.787691329631399e-09,3.2808367588838923e-09,1.8036917932536305e-09
2011-07-05,16,0.3000000000000002,0.3000000000000002,3.2364431411088494e-06,4.070965895326759e-05,0.0,2.2649686001034687e-05,0.0,0.0,0.0,0.0,0.0,0.1262108619719985,0.2738714455813413,0.0,5.611174271546872e-05,2.1318483233714557e-05
2011-10-03,16,0.2999977300946204,3.7617775591859556e-07,1.50450868719686e-07,0.0034721850050172857,4.4897586029366654e-07,3.8607024593555993e-10,3.790945508837957e-07,8.170463912617237e-07,6.845342403525571e-07,1.099157054680865e-06,2.313524361612042e-07,2.8848114865306113e-09,0.29805639526858707,0.29600843642516816,6.963754226042208e-06,0.10848421376437281
2012-01-03,16,0.29888999685443085,7.632398939936003e-05,3.0510099367600293e-05,6.906909703484565e-05,4.238702324163858e-07,7.278003892432719e-05,2.297253668638419e-07,1.4421070139577068e-06,6.179152269985626e-07,2.0026157992122173e-06,7.128515366920207e-06,7.971666345899878e-05,0.2999989495423332,0.2777132591745836,3.659886897467568e-05,0.12284176761083308
2012-04-03,16,0.29996613740544736,5.77089970055162e-05,5.791994289893366e-06,4.986527132398312e-06,6.152455850587511e-06,4.305891529054641e-06,1.0624851059414348e-06,5.00118081138824e-05,2.9420426842837805e-05,3.353869175448953e-05,3.8723862696581256e-06,4.6915676731757946e-05,0.29996794665224824,0.25820478749974696,0.00014088675533405516,0.14166167505321087
2012-07-03,16,0.2993137133707284,3.348785842136076e-06,2.634296595602618e-06,1.9759752586479155e-06,2.5954531291909175e-06,2.121438837297021e-06,2.522626013242187e-06,4.505504568941459e-06,4.074470163122469e-06,4.2377629636791314e-06,2.52372087402213e-06,1.8744929410662506e-06,0.29998904083807804,0.29998502037008645,2.8468945761690665e-06,0.10070571368175904
2012-10-02,16,0.29999980182706437,2.9655139358042456e-08,4.457386518219592e-08,9.352147944952089e-09,5.313908825466105e-08,0.0,2.1873502772939962e-08,8.866827147513423e-08,3.383244850940776e-08,1.2147806548179517e-07,4.8295233257000697e-08,0.0,0.29999992850369367,0.2999999348889152,0.0,0.09999996096639865
2013-01-04,16,0.2636109605107042,4.156565475946487e-07,1.0483533839556591e-05,1.198975937694879e-05,4.09815934637081e-07,6.389359844468521e-05,2.262333236199561e-08,1.4487706988295769e-06,1.1830673013925951e-06,1.142289710584623e-06,2.171954074266592e-07,6.739134835090938e-05,0.29999885736918996,0.27471840122313756,2.939566262645975e-06,0.16255281066337468
2013-04-08,16,0.2605182443562332,9.889085532179248e-06,2.603225682624842e-06,2.426059725679201e-06,5.829252242246753e-06,4.4593564698602506e-05,4.795111637297633e-06,2.3299972050327026e-05,1.8875982525855775e-05,1.431318247961997e-05,7.572890655943794e-06,3.402580340697287e-05,0.29998261143451777,0.27480433353666756,0.16290848662087842,0.0017083692531201919
2013-07-08,16,0.1919366431131691,5.5344538381430194e-05,3.2785888956304684e-05,3.762278541185912e-05,4.638499639707415e-05,3.831745905232265e-05,2.9775941461523502e-05,4.6742469539735354e-05,8.658449537444128e-05,6.252790844999036e-05,5.5223731078083796e-05,7.25429757358256e-07,0.2999653661942126,1.691033187540206e-05,0.2999936819244709,0.20763178330957596
2013-10-04,16,0.17812971458995666,1.2618889834882968e-07,3.2571402155623113e-07,1.2286318888382501e-07,2.0590637115196418e-07,2.802222201805719e-07,1.1043284698046302e-07,1.0935868423661502e-06,1.4115468358911713e-06,5.961212707332656e-07,8.735268222778573e-08,1.3195311187733136e-07,0.2999977522706957,3.3870905282316077e-06,0.29999786157611413,0.2218665661191082
2014-01-06,16,0.17861046532375321,2.9034223852334795e-07,3.0072100805662765e-08,4.4371752976437746e-08,2.4733762690644734e-07,7.750158767433551e-09,1.6554123678015447e-08,5.358698043602915e-07,6.023671424888204e-07,1.209448610027654e-07,9.314117655573472e-08,2.1794054020703095e-07,0.2999994652451322,4.228252284091346e-10,0.2999994751173496,0.22138879949514031
