,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-01-19 00:00:00+00:00,,,,,,,,,,15.3079655813,,16.6571164126,12.0609868659,19.2415158238,40.8448674302,14.4104698738,,12.2660845958,23.3570201301,22.9353282007,,
2000-01-20 00:00:00+00:00,,,,,,,,,,14.9044904854,,16.6571164126,11.8412205108,19.1149269039,41.082649757,14.2116632242,,12.320843902,23.1759579585,22.6209355373,,
2000-01-21 00:00:00+00:00,,,,,,,,,,14.9707326653,,17.1160549785,11.6894770752,18.8750742136,41.1363425405,14.0550276821,,12.7224121477,23.1325030373,22.1531805991,,
2000-01-24 00:00:00+00:00,,,,,,,,,,14.5732795857,,16.5100207184,11.4801757847,18.3354056603,39.7940229536,13.651389939,,12.5490076779,22.4372242986,21.325024315,,
2000-01-25 00:00:00+00:00,,,,,,,,,,14.3022888496,,16.4747177518,11.6005240268,18.2288044646,40.637766694,13.482705509,,12.2569580447,22.5965590096,21.4553822486,,
2000-01-26 00:00:00+00:00,,,,,,,,,,14.3022888496,,16.21582933,12.0348242046,18.3753811087,39.3107879023,13.6031943876,,12.197635463,22.4951641935,21.6164126372,,
2000-01-27 00:00:00+00:00,,,,,,,,,,14.3805750622,,15.8863349749,12.1656375111,18.4753197297,38.9272680204,13.8562210325,,12.1200597791,22.36479943,21.5550677273,,
2000-01-28 00:00:00+00:00,,,,,,,,,,14.1336723916,,15.7039363141,11.7418023979,17.9889517743,37.5389260476,13.7417565979,,12.0561739219,21.9085227577,20.7039071019,,
2000-01-31 00:00:00+00:00,,,,,,,,,,14.0493641626,,16.0687336357,12.0662193981,18.1155406942,38.7815304652,13.9947832429,,12.6128935352,21.8071279416,20.8572693768,,
2000-02-01 00:00:00+00:00,,,,,,,,,,14.3022888496,,16.0334306691,12.1342423176,17.9889517743,39.6022630126,13.8562210325,,12.5216280248,22.0895849292,21.6164126372,,
2000-02-02 00:00:00+00:00,,,,,,,,,,14.3685310295,,16.1334557412,12.0086615433,18.0022769238,39.8860677253,13.8863432522,,12.4577421676,22.6327714439,21.4707184761,,
2000-02-03 00:00:00+00:00,,,,,,,,,,14.1216283589,,15.9392894248,11.9354060916,17.9889517743,41.0366273712,13.6935610465,,12.43492579,22.835561076,21.5550677273,,
2000-02-04 00:00:00+00:00,,,,,,,,,,14.1035623098,,15.4803508589,11.8150578495,18.0622400963,41.5121920249,13.7598299297,,12.3710399327,22.9152284315,21.4707184761,,
2000-02-07 00:00:00+00:00,,,,,,,,,,13.8325715737,,15.656865692,11.6894770752,17.749099084,41.9954270761,13.6694632708,,12.3345337285,22.5458616015,21.0643084478,,
2000-02-08 00:00:00+00:00,,,,,,,,,,13.7964394755,,15.5215376533,11.8202903818,17.822387406,42.3789469581,13.8381477008,,12.3619133817,22.7921061548,21.5397314998,,
2000-02-09 00:00:00+00:00,,,,,,,,,,13.5194267231,,15.0037608096,11.5429661719,17.6358353136,41.849689521,13.7176588222,,12.3619133817,22.3865268906,21.1869982677,,
2000-02-10 00:00:00+00:00,,,,,,,,,,13.4110304287,,15.3156036814,11.2237817038,17.3360194506,42.8468412141,13.2537766398,,12.1839456364,22.1909797453,20.9952954241,,
2000-02-11 00:00:00+00:00,,,,,,,,,,13.079819529,,15.1332050206,11.2499443651,16.9695778404,41.7116223635,13.0007499949,,11.969471687,22.205464719,20.6885708745,,
2000-02-14 00:00:00+00:00,,,,,,,,,,13.2966121179,,15.3744419591,11.3493624781,17.2427434044,41.7346335564,13.0670188781,,11.9877247891,21.7926429679,20.8035925806,,
2000-02-15 00:00:00+00:00,,,,,,,,,,13.8687036718,,16.0157791858,11.3650600749,17.5425592673,41.849689521,13.3561921866,,11.9557818604,21.62606577,20.849601263,,
2000-02-16 00:00:00+00:00,,,,,,,,,,13.5495368049,,16.0863851191,11.1295961231,17.5025838189,41.6349183871,13.1694344248,,11.9055858297,21.0176968736,20.0367812064,,
2000-02-17 00:00:00+00:00,,,,,,,,,,13.5194267231,,16.0687336357,10.988317752,17.575872141,42.5707068991,12.9706277752,,11.8371366969,21.0032118999,19.4616726758,,
2000-02-18 00:00:00+00:00,,,,,,,,,,13.1099296108,,15.603911242,10.5958778323,17.1894428066,41.1363425405,12.8200166771,,11.4081887981,20.4238129509,19.1702843537,,
2000-02-22 00:00:00+00:00,,,,,,,,,,13.5194267231,,15.4626993756,10.6952959453,17.4692709453,41.0366273712,13.0308722145,,11.3579927674,20.2789632137,19.2162930361,,
2000-02-23 00:00:00+00:00,,,,,,,,,,13.3688763141,,15.0567152596,10.6534356872,17.3360194506,42.2869021864,12.7477233499,,11.1252657159,20.5976326356,19.1549481262,,
2000-02-24 00:00:00+00:00,,,,,,,,,,12.8931370219,,14.891968082,10.4336693321,17.1761176571,42.8084892259,12.4826478171,,10.7510771234,20.4382979247,18.5491671406,,
2000-02-25 00:00:00+00:00,,,,,,,,,,12.6823664494,,14.5977766936,10.3656464127,16.8763017942,42.401958151,12.1693767329,,10.6963178171,19.8009590808,18.6181801643,,
2000-02-28 00:00:00+00:00,,,,,,,,,,12.7245205639,,15.0390637763,10.7005284775,16.929602392,41.9033823045,12.4043300461,,11.0020572769,20.1558409371,19.2929741735,,
2000-02-29 00:00:00+00:00,,,,,,,,,,12.6341903185,,15.3920934424,10.7737839292,17.1161544845,42.8621820094,12.3621589386,,11.0796329607,20.3803580298,19.6993842018,,
2000-03-01 00:00:00+00:00,,,,,,,,,,12.507727975,,15.7745422473,10.9255273648,17.0228784383,43.2917242772,12.247694504,,11.5633401658,20.5541777145,19.4693407896,,
