ticker
XLC
XLY
XLP
XLE
XLF
XLV
XLI
XLB
XLRE
XLK
XLU
XSLV
XSMV
SPLV
SPHB
SLYV
MDYV
SPYV
SPYG
MDYG
SLYG
GLD
